etag,videoId,publishedAt,channelId,title,description,channelTitle,publishTime
GCJrmYNDix2ShmgXYBYrJ81vqqY,Sqq1KZF03-I,2021-01-13T17:00:09Z,UCv0tIDoaBZCTXQvVO4zosng,ILLENIUM and Dabin Feat. Lights- Hearts on Fire (Official Video),Director: Caleb Mallery Production Company: Tuff Contender Producer: Max Rose Executive Producers: Max Rose & DJay Brawner Director of Photography: ...,ILLENIUM,2021-01-13T17:00:09Z
3CskZm8EglCmKOVJ5ko_c_h3wBs,GIk6kSdeIsA,2011-09-21T10:31:53Z,UCpDJl2EmP7Oh90Vylx0dZtA,Basto - Again and Again (Official Music Video) [HD],"Spinnin' Records proudly presents ''Basto'' with ''Again and Again'' Basto ""Live Performance"" Sunday 24 july at Tomorrowland 2011 -- Belgium ...",Spinnin' Records,2011-09-21T10:31:53Z
dahaqJiyCBn33AXAjX9nQC8-5Io,NMAfHHv2owE,2019-07-12T07:59:30Z,UC1YracJbHnVwSHNpFvnfSFQ,Day and Night | Latest EDM 2019 (Official Video),"Adicció - Day & Night (Official Video) House music is one of Adicció's favorite genre .Today ,Adicció made another great track, day & night. The mood of the track ...",AdiccióMusic,2019-07-12T07:59:30Z
FFGtKDzb0_hrsG0em0crvQdtvg0,j1DBHdxP16k,2016-11-07T20:00:01Z,UCpDJl2EmP7Oh90Vylx0dZtA,Pep &amp; Rash and Polina - Echo (Official Music Video),Dutch DJ duo Pep & Rash is making waves with Echo. The dainty flute and melancholic vocals are guiding you through the song. It leads up to a refined drop ...,Spinnin' Records,2016-11-07T20:00:01Z
hQLig3xkuEMdCl2nKc98htrNDa8,VlClCPTbkBo,2016-02-29T20:00:02Z,UCpDJl2EmP7Oh90Vylx0dZtA,KSHMR and Felix Snow - Touch ft. Madi (Official Music Video),"KSHMR and Felix Snow proving what they're worth with this wonderfully melodic tune. Touch features cool vocals and effects, delivering a pop-goes-electronic ...",Spinnin' Records,2016-02-29T20:00:02Z
JbOrhu4x_VG6YmteLCt9y7s5-Bw,dAsL6i2pgyo,2017-04-21T15:46:21Z,UC4rasfm9J-X4jNl9SvXp8xA,Deorro - Rise and Shine (Official Video) [Ultra Music],"Ultra Music is an American independent electronic music record label based in New York City. Ultra's current roster includes Benny Benassi, Steve Aoki, Kygo, ...",Ultra Music,2017-04-21T15:46:21Z
Nl4S51wXr0HU2ItJYY35hL0rSNw,tyFlXgArH-c,2014-11-28T20:00:14Z,UCpDJl2EmP7Oh90Vylx0dZtA,Borgeous and Dzeko and Torres - Tutankhamun (Official Music Video),Hit producer Borgeous teams up with electro duo Dzeko & Torres to bring you Tutankhamun. A huge big room effort with massive crowd pleasing aspects.,Spinnin' Records,2014-11-28T20:00:14Z
AHXMKIcLupcwbYJcJIk1CBLXb_w,-H_U3jRyoiI,2012-05-04T22:40:11Z,UCJa09N1pF2d_tQdyvoeq2iw,CLMD - Black Eyes and Blue (official video),The brand new CLMD (Carl Louis & Martin Danielle) track - Black Eyes and Blue is out now! iTunes : http://bit.ly/KZJ0nx Spotify : http://spoti.fi/Kh8f5P Wimp ...,Filtr Playlists Norway,2012-05-04T22:40:11Z
SKTRmRII02cN_u-E469c7uzBlHQ,8zwxfull9a4,2020-12-04T11:10:39Z,UCZod_bG7q3OmdOp_zt5ns-g,Exodus and Centric - Acid Rave [Official Music Video],"Exodus and Centric's new original production is quintessential acid house at its absolute best. Immediately kicking off with stabbing synths, warbly soundscapes, ...",Darklight Recordings,2020-12-04T11:10:39Z
LT0UgnSVUuNxCr38fvPvcybst30,LAh7aMydD3U,2019-10-08T09:12:54Z,UCZod_bG7q3OmdOp_zt5ns-g,Chester Young and Castion - PYRO [Official Music Video],"The spark that lights the fire on the dance floor, Chester Young and Castion's 'PYRO' was made for the sole purpose of bringing the heat. Making the ...",Darklight Recordings,2019-10-08T09:12:54Z
